trip_id,arrival_time,departure_time,stop_id,stop_sequence
0_6_0,06:00:00,06:00:00,2101,0
0_6_0,06:01:52,06:01:52,909,1
0_6_0,06:04:17,06:04:17,2790,2
0_6_0,06:06:02,06:06:02,236,3
0_6_0,06:08:47,06:08:47,2855,4
0_6_0,06:11:32,06:11:32,707,5
0_6_0,06:14:49,06:14:49,570,6
0_6_0,06:16:22,06:16:22,4393,7
0_6_0,06:19:54,06:19:54,2319,8
0_6_0,06:26:25,06:26:25,2669,9
0_6_0,06:29:29,06:29:29,2822,10
0_6_0,06:32:53,06:32:53,1358,11
0_6_0,06:36:01,06:36:01,676,12
0_6_0,06:38:04,06:38:04,1703,13
0_6_0,06:40:15,06:40:15,3331,14
0_6_0,06:44:08,06:44:08,3182,15
0_6_0,06:48:17,06:48:17,2997,16
0_6_0,06:51:23,06:51:23,880,17
0_6_0,06:54:13,06:54:13,884,18
0_6_0,06:57:45,06:57:45,2872,19
0_6_0,06:59:35,06:59:35,746,20
0_6_0,07:02:30,07:02:30,1317,21
0_6_0,07:04:20,07:04:20,2570,22
0_6_0,07:06:13,07:06:13,2817,23
0_6_0,07:07:59,07:07:59,678,24
0_6_0,07:09:20,07:09:20,650,25
0_6_0,07:14:11,07:14:11,533,26
0_6_0,07:18:37,07:18:37,2932,27
0_6_0,07:19:33,07:19:33,1984,28
0_6_0,07:21:05,07:21:05,3207,29
0_6_0,07:22:18,07:22:18,466,30
0_6_0,07:22:58,07:22:58,319,31
0_6_0,07:25:16,07:25:16,2609,32
0_6_0,07:27:11,07:27:11,1531,33
0_6_0,07:28:55,07:28:55,2732,34
0_6_0,07:30:51,07:30:51,166,35
0_6_0,07:31:32,07:31:32,1368,36
0_6_0,07:35:13,07:35:13,2573,37
0_6_0,07:37:10,07:37:10,422,38
0_6_0,07:38:55,07:38:55,2837,39
0_6_0,07:40:10,07:40:10,47,40
0_6_0,07:40:49,07:40:49,1886,41
0_6_0,07:42:45,07:42:45,952,42
0_6_0,07:45:36,07:45:36,2968,43
0_6_10,06:10:00,06:10:00,2101,0
0_6_10,06:11:52,06:11:52,909,1
0_6_10,06:14:17,06:14:17,2790,2
0_6_10,06:16:02,06:16:02,236,3
0_6_10,06:18:47,06:18:47,2855,4
0_6_10,06:21:32,06:21:32,707,5
0_6_10,06:24:49,06:24:49,570,6
0_6_10,06:26:22,06:26:22,4393,7
0_6_10,06:29:54,06:29:54,2319,8
0_6_10,06:36:25,06:36:25,2669,9
0_6_10,06:39:29,06:39:29,2822,10
0_6_10,06:42:53,06:42:53,1358,11
0_6_10,06:46:01,06:46:01,676,12
0_6_10,06:48:04,06:48:04,1703,13
0_6_10,06:50:15,06:50:15,3331,14
0_6_10,06:54:08,06:54:08,3182,15
0_6_10,06:58:17,06:58:17,2997,16
0_6_10,07:01:23,07:01:23,880,17
0_6_10,07:04:13,07:04:13,884,18
0_6_10,07:07:45,07:07:45,2872,19
0_6_10,07:09:35,07:09:35,746,20
0_6_10,07:12:30,07:12:30,1317,21
0_6_10,07:14:20,07:14:20,2570,22
0_6_10,07:16:13,07:16:13,2817,23
0_6_10,07:17:59,07:17:59,678,24
0_6_10,07:19:20,07:19:20,650,25
0_6_10,07:24:11,07:24:11,533,26
0_6_10,07:28:37,07:28:37,2932,27
0_6_10,07:29:33,07:29:33,1984,28
0_6_10,07:31:05,07:31:05,3207,29
0_6_10,07:32:18,07:32:18,466,30
0_6_10,07:32:58,07:32:58,319,31
0_6_10,07:35:16,07:35:16,2609,32
0_6_10,07:37:11,07:37:11,1531,33
0_6_10,07:38:55,07:38:55,2732,34
0_6_10,07:40:51,07:40:51,166,35
0_6_10,07:41:32,07:41:32,1368,36
0_6_10,07:45:13,07:45:13,2573,37
0_6_10,07:47:10,07:47:10,422,38
0_6_10,07:48:55,07:48:55,2837,39
0_6_10,07:50:10,07:50:10,47,40
0_6_10,07:50:49,07:50:49,1886,41
0_6_10,07:52:45,07:52:45,952,42
0_6_10,07:55:36,07:55:36,2968,43
0_6_20,06:20:00,06:20:00,2101,0
0_6_20,06:21:52,06:21:52,909,1
0_6_20,06:24:17,06:24:17,2790,2
0_6_20,06:26:02,06:26:02,236,3
0_6_20,06:28:47,06:28:47,2855,4
0_6_20,06:31:32,06:31:32,707,5
0_6_20,06:34:49,06:34:49,570,6
0_6_20,06:36:22,06:36:22,4393,7
0_6_20,06:39:54,06:39:54,2319,8
0_6_20,06:46:25,06:46:25,2669,9
0_6_20,06:49:29,06:49:29,2822,10
0_6_20,06:52:53,06:52:53,1358,11
0_6_20,06:56:01,06:56:01,676,12
0_6_20,06:58:04,06:58:04,1703,13
0_6_20,07:00:15,07:00:15,3331,14
0_6_20,07:04:08,07:04:08,3182,15
0_6_20,07:08:17,07:08:17,2997,16
0_6_20,07:11:23,07:11:23,880,17
0_6_20,07:14:13,07:14:13,884,18
0_6_20,07:17:45,07:17:45,2872,19
0_6_20,07:19:35,07:19:35,746,20
0_6_20,07:22:30,07:22:30,1317,21
0_6_20,07:24:20,07:24:20,2570,22
0_6_20,07:26:13,07:26:13,2817,23
0_6_20,07:27:59,07:27:59,678,24
0_6_20,07:29:20,07:29:20,650,25
0_6_20,07:34:11,07:34:11,533,26
0_6_20,07:38:37,07:38:37,2932,27
0_6_20,07:39:33,07:39:33,1984,28
0_6_20,07:41:05,07:41:05,3207,29
0_6_20,07:42:18,07:42:18,466,30
0_6_20,07:42:58,07:42:58,319,31
0_6_20,07:45:16,07:45:16,2609,32
0_6_20,07:47:11,07:47:11,1531,33
0_6_20,07:48:55,07:48:55,2732,34
0_6_20,07:50:51,07:50:51,166,35
0_6_20,07:51:32,07:51:32,1368,36
0_6_20,07:55:13,07:55:13,2573,37
0_6_20,07:57:10,07:57:10,422,38
0_6_20,07:58:55,07:58:55,2837,39
0_6_20,08:00:10,08:00:10,47,40
0_6_20,08:00:49,08:00:49,1886,41
0_6_20,08:02:45,08:02:45,952,42
0_6_20,08:05:36,08:05:36,2968,43
0_6_30,06:30:00,06:30:00,2101,0
0_6_30,06:31:52,06:31:52,909,1
0_6_30,06:34:17,06:34:17,2790,2
0_6_30,06:36:02,06:36:02,236,3
0_6_30,06:38:47,06:38:47,2855,4
0_6_30,06:41:32,06:41:32,707,5
0_6_30,06:44:49,06:44:49,570,6
0_6_30,06:46:22,06:46:22,4393,7
0_6_30,06:49:54,06:49:54,2319,8
0_6_30,06:56:25,06:56:25,2669,9
0_6_30,06:59:29,06:59:29,2822,10
0_6_30,07:02:53,07:02:53,1358,11
0_6_30,07:06:01,07:06:01,676,12
0_6_30,07:08:04,07:08:04,1703,13
0_6_30,07:10:15,07:10:15,3331,14
0_6_30,07:14:08,07:14:08,3182,15
0_6_30,07:18:17,07:18:17,2997,16
0_6_30,07:21:23,07:21:23,880,17
0_6_30,07:24:13,07:24:13,884,18
0_6_30,07:27:45,07:27:45,2872,19
0_6_30,07:29:35,07:29:35,746,20
0_6_30,07:32:30,07:32:30,1317,21
0_6_30,07:34:20,07:34:20,2570,22
0_6_30,07:36:13,07:36:13,2817,23
0_6_30,07:37:59,07:37:59,678,24
0_6_30,07:39:20,07:39:20,650,25
0_6_30,07:44:11,07:44:11,533,26
0_6_30,07:48:37,07:48:37,2932,27
0_6_30,07:49:33,07:49:33,1984,28
0_6_30,07:51:05,07:51:05,3207,29
0_6_30,07:52:18,07:52:18,466,30
0_6_30,07:52:58,07:52:58,319,31
0_6_30,07:55:16,07:55:16,2609,32
0_6_30,07:57:11,07:57:11,1531,33
0_6_30,07:58:55,07:58:55,2732,34
0_6_30,08:00:51,08:00:51,166,35
0_6_30,08:01:32,08:01:32,1368,36
0_6_30,08:05:13,08:05:13,2573,37
0_6_30,08:07:10,08:07:10,422,38
0_6_30,08:08:55,08:08:55,2837,39
0_6_30,08:10:10,08:10:10,47,40
0_6_30,08:10:49,08:10:49,1886,41
0_6_30,08:12:45,08:12:45,952,42
0_6_30,08:15:36,08:15:36,2968,43
0_6_40,06:40:00,06:40:00,2101,0
0_6_40,06:41:52,06:41:52,909,1
0_6_40,06:44:17,06:44:17,2790,2
0_6_40,06:46:02,06:46:02,236,3
0_6_40,06:48:47,06:48:47,2855,4
0_6_40,06:51:32,06:51:32,707,5
0_6_40,06:54:49,06:54:49,570,6
0_6_40,06:56:22,06:56:22,4393,7
0_6_40,06:59:54,06:59:54,2319,8
0_6_40,07:06:25,07:06:25,2669,9
0_6_40,07:09:29,07:09:29,2822,10
0_6_40,07:12:53,07:12:53,1358,11
0_6_40,07:16:01,07:16:01,676,12
0_6_40,07:18:04,07:18:04,1703,13
0_6_40,07:20:15,07:20:15,3331,14
0_6_40,07:24:08,07:24:08,3182,15
0_6_40,07:28:17,07:28:17,2997,16
0_6_40,07:31:23,07:31:23,880,17
0_6_40,07:34:13,07:34:13,884,18
0_6_40,07:37:45,07:37:45,2872,19
0_6_40,07:39:35,07:39:35,746,20
0_6_40,07:42:30,07:42:30,1317,21
0_6_40,07:44:20,07:44:20,2570,22
0_6_40,07:46:13,07:46:13,2817,23
0_6_40,07:47:59,07:47:59,678,24
0_6_40,07:49:20,07:49:20,650,25
0_6_40,07:54:11,07:54:11,533,26
0_6_40,07:58:37,07:58:37,2932,27
0_6_40,07:59:33,07:59:33,1984,28
0_6_40,08:01:05,08:01:05,3207,29
0_6_40,08:02:18,08:02:18,466,30
0_6_40,08:02:58,08:02:58,319,31
0_6_40,08:05:16,08:05:16,2609,32
0_6_40,08:07:11,08:07:11,1531,33
0_6_40,08:08:55,08:08:55,2732,34
0_6_40,08:10:51,08:10:51,166,35
0_6_40,08:11:32,08:11:32,1368,36
0_6_40,08:15:13,08:15:13,2573,37
0_6_40,08:17:10,08:17:10,422,38
0_6_40,08:18:55,08:18:55,2837,39
0_6_40,08:20:10,08:20:10,47,40
0_6_40,08:20:49,08:20:49,1886,41
0_6_40,08:22:45,08:22:45,952,42
0_6_40,08:25:36,08:25:36,2968,43
0_6_50,06:50:00,06:50:00,2101,0
0_6_50,06:51:52,06:51:52,909,1
0_6_50,06:54:17,06:54:17,2790,2
0_6_50,06:56:02,06:56:02,236,3
0_6_50,06:58:47,06:58:47,2855,4
0_6_50,07:01:32,07:01:32,707,5
0_6_50,07:04:49,07:04:49,570,6
0_6_50,07:06:22,07:06:22,4393,7
0_6_50,07:09:54,07:09:54,2319,8
0_6_50,07:16:25,07:16:25,2669,9
0_6_50,07:19:29,07:19:29,2822,10
0_6_50,07:22:53,07:22:53,1358,11
0_6_50,07:26:01,07:26:01,676,12
0_6_50,07:28:04,07:28:04,1703,13
0_6_50,07:30:15,07:30:15,3331,14
0_6_50,07:34:08,07:34:08,3182,15
0_6_50,07:38:17,07:38:17,2997,16
0_6_50,07:41:23,07:41:23,880,17
0_6_50,07:44:13,07:44:13,884,18
0_6_50,07:47:45,07:47:45,2872,19
0_6_50,07:49:35,07:49:35,746,20
0_6_50,07:52:30,07:52:30,1317,21
0_6_50,07:54:20,07:54:20,2570,22
0_6_50,07:56:13,07:56:13,2817,23
0_6_50,07:57:59,07:57:59,678,24
0_6_50,07:59:20,07:59:20,650,25
0_6_50,08:04:11,08:04:11,533,26
0_6_50,08:08:37,08:08:37,2932,27
0_6_50,08:09:33,08:09:33,1984,28
0_6_50,08:11:05,08:11:05,3207,29
0_6_50,08:12:18,08:12:18,466,30
0_6_50,08:12:58,08:12:58,319,31
0_6_50,08:15:16,08:15:16,2609,32
0_6_50,08:17:11,08:17:11,1531,33
0_6_50,08:18:55,08:18:55,2732,34
0_6_50,08:20:51,08:20:51,166,35
0_6_50,08:21:32,08:21:32,1368,36
0_6_50,08:25:13,08:25:13,2573,37
0_6_50,08:27:10,08:27:10,422,38
0_6_50,08:28:55,08:28:55,2837,39
0_6_50,08:30:10,08:30:10,47,40
0_6_50,08:30:49,08:30:49,1886,41
0_6_50,08:32:45,08:32:45,952,42
0_6_50,08:35:36,08:35:36,2968,43
0_7_0,07:00:00,07:00:00,2101,0
0_7_0,07:01:52,07:01:52,909,1
0_7_0,07:04:17,07:04:17,2790,2
0_7_0,07:06:02,07:06:02,236,3
0_7_0,07:08:47,07:08:47,2855,4
0_7_0,07:11:32,07:11:32,707,5
0_7_0,07:14:49,07:14:49,570,6
0_7_0,07:16:22,07:16:22,4393,7
0_7_0,07:19:54,07:19:54,2319,8
0_7_0,07:26:25,07:26:25,2669,9
0_7_0,07:29:29,07:29:29,2822,10
0_7_0,07:32:53,07:32:53,1358,11
0_7_0,07:36:01,07:36:01,676,12
0_7_0,07:38:04,07:38:04,1703,13
0_7_0,07:40:15,07:40:15,3331,14
0_7_0,07:44:08,07:44:08,3182,15
0_7_0,07:48:17,07:48:17,2997,16
0_7_0,07:51:23,07:51:23,880,17
0_7_0,07:54:13,07:54:13,884,18
0_7_0,07:57:45,07:57:45,2872,19
0_7_0,07:59:35,07:59:35,746,20
0_7_0,08:02:30,08:02:30,1317,21
0_7_0,08:04:20,08:04:20,2570,22
0_7_0,08:06:13,08:06:13,2817,23
0_7_0,08:07:59,08:07:59,678,24
0_7_0,08:09:20,08:09:20,650,25
0_7_0,08:14:11,08:14:11,533,26
0_7_0,08:18:37,08:18:37,2932,27
0_7_0,08:19:33,08:19:33,1984,28
0_7_0,08:21:05,08:21:05,3207,29
0_7_0,08:22:18,08:22:18,466,30
0_7_0,08:22:58,08:22:58,319,31
0_7_0,08:25:16,08:25:16,2609,32
0_7_0,08:27:11,08:27:11,1531,33
0_7_0,08:28:55,08:28:55,2732,34
0_7_0,08:30:51,08:30:51,166,35
0_7_0,08:31:32,08:31:32,1368,36
0_7_0,08:35:13,08:35:13,2573,37
0_7_0,08:37:10,08:37:10,422,38
0_7_0,08:38:55,08:38:55,2837,39
0_7_0,08:40:10,08:40:10,47,40
0_7_0,08:40:49,08:40:49,1886,41
0_7_0,08:42:45,08:42:45,952,42
0_7_0,08:45:36,08:45:36,2968,43
0_7_10,07:10:00,07:10:00,2101,0
0_7_10,07:11:52,07:11:52,909,1
0_7_10,07:14:17,07:14:17,2790,2
0_7_10,07:16:02,07:16:02,236,3
0_7_10,07:18:47,07:18:47,2855,4
0_7_10,07:21:32,07:21:32,707,5
0_7_10,07:24:49,07:24:49,570,6
0_7_10,07:26:22,07:26:22,4393,7
0_7_10,07:29:54,07:29:54,2319,8
0_7_10,07:36:25,07:36:25,2669,9
0_7_10,07:39:29,07:39:29,2822,10
0_7_10,07:42:53,07:42:53,1358,11
0_7_10,07:46:01,07:46:01,676,12
0_7_10,07:48:04,07:48:04,1703,13
0_7_10,07:50:15,07:50:15,3331,14
0_7_10,07:54:08,07:54:08,3182,15
0_7_10,07:58:17,07:58:17,2997,16
0_7_10,08:01:23,08:01:23,880,17
0_7_10,08:04:13,08:04:13,884,18
0_7_10,08:07:45,08:07:45,2872,19
0_7_10,08:09:35,08:09:35,746,20
0_7_10,08:12:30,08:12:30,1317,21
0_7_10,08:14:20,08:14:20,2570,22
0_7_10,08:16:13,08:16:13,2817,23
0_7_10,08:17:59,08:17:59,678,24
0_7_10,08:19:20,08:19:20,650,25
0_7_10,08:24:11,08:24:11,533,26
0_7_10,08:28:37,08:28:37,2932,27
0_7_10,08:29:33,08:29:33,1984,28
0_7_10,08:31:05,08:31:05,3207,29
0_7_10,08:32:18,08:32:18,466,30
0_7_10,08:32:58,08:32:58,319,31
0_7_10,08:35:16,08:35:16,2609,32
0_7_10,08:37:11,08:37:11,1531,33
0_7_10,08:38:55,08:38:55,2732,34
0_7_10,08:40:51,08:40:51,166,35
0_7_10,08:41:32,08:41:32,1368,36
0_7_10,08:45:13,08:45:13,2573,37
0_7_10,08:47:10,08:47:10,422,38
0_7_10,08:48:55,08:48:55,2837,39
0_7_10,08:50:10,08:50:10,47,40
0_7_10,08:50:49,08:50:49,1886,41
0_7_10,08:52:45,08:52:45,952,42
0_7_10,08:55:36,08:55:36,2968,43
0_7_20,07:20:00,07:20:00,2101,0
0_7_20,07:21:52,07:21:52,909,1
0_7_20,07:24:17,07:24:17,2790,2
0_7_20,07:26:02,07:26:02,236,3
0_7_20,07:28:47,07:28:47,2855,4
0_7_20,07:31:32,07:31:32,707,5
0_7_20,07:34:49,07:34:49,570,6
0_7_20,07:36:22,07:36:22,4393,7
0_7_20,07:39:54,07:39:54,2319,8
0_7_20,07:46:25,07:46:25,2669,9
0_7_20,07:49:29,07:49:29,2822,10
0_7_20,07:52:53,07:52:53,1358,11
0_7_20,07:56:01,07:56:01,676,12
0_7_20,07:58:04,07:58:04,1703,13
0_7_20,08:00:15,08:00:15,3331,14
0_7_20,08:04:08,08:04:08,3182,15
0_7_20,08:08:17,08:08:17,2997,16
0_7_20,08:11:23,08:11:23,880,17
0_7_20,08:14:13,08:14:13,884,18
0_7_20,08:17:45,08:17:45,2872,19
0_7_20,08:19:35,08:19:35,746,20
0_7_20,08:22:30,08:22:30,1317,21
0_7_20,08:24:20,08:24:20,2570,22
0_7_20,08:26:13,08:26:13,2817,23
0_7_20,08:27:59,08:27:59,678,24
0_7_20,08:29:20,08:29:20,650,25
0_7_20,08:34:11,08:34:11,533,26
0_7_20,08:38:37,08:38:37,2932,27
0_7_20,08:39:33,08:39:33,1984,28
0_7_20,08:41:05,08:41:05,3207,29
0_7_20,08:42:18,08:42:18,466,30
0_7_20,08:42:58,08:42:58,319,31
0_7_20,08:45:16,08:45:16,2609,32
0_7_20,08:47:11,08:47:11,1531,33
0_7_20,08:48:55,08:48:55,2732,34
0_7_20,08:50:51,08:50:51,166,35
0_7_20,08:51:32,08:51:32,1368,36
0_7_20,08:55:13,08:55:13,2573,37
0_7_20,08:57:10,08:57:10,422,38
0_7_20,08:58:55,08:58:55,2837,39
0_7_20,09:00:10,09:00:10,47,40
0_7_20,09:00:49,09:00:49,1886,41
0_7_20,09:02:45,09:02:45,952,42
0_7_20,09:05:36,09:05:36,2968,43
0_7_30,07:30:00,07:30:00,2101,0
0_7_30,07:31:52,07:31:52,909,1
0_7_30,07:34:17,07:34:17,2790,2
0_7_30,07:36:02,07:36:02,236,3
0_7_30,07:38:47,07:38:47,2855,4
0_7_30,07:41:32,07:41:32,707,5
0_7_30,07:44:49,07:44:49,570,6
0_7_30,07:46:22,07:46:22,4393,7
0_7_30,07:49:54,07:49:54,2319,8
0_7_30,07:56:25,07:56:25,2669,9
0_7_30,07:59:29,07:59:29,2822,10
0_7_30,08:02:53,08:02:53,1358,11
0_7_30,08:06:01,08:06:01,676,12
0_7_30,08:08:04,08:08:04,1703,13
0_7_30,08:10:15,08:10:15,3331,14
0_7_30,08:14:08,08:14:08,3182,15
0_7_30,08:18:17,08:18:17,2997,16
0_7_30,08:21:23,08:21:23,880,17
0_7_30,08:24:13,08:24:13,884,18
0_7_30,08:27:45,08:27:45,2872,19
0_7_30,08:29:35,08:29:35,746,20
0_7_30,08:32:30,08:32:30,1317,21
0_7_30,08:34:20,08:34:20,2570,22
0_7_30,08:36:13,08:36:13,2817,23
0_7_30,08:37:59,08:37:59,678,24
0_7_30,08:39:20,08:39:20,650,25
0_7_30,08:44:11,08:44:11,533,26
0_7_30,08:48:37,08:48:37,2932,27
0_7_30,08:49:33,08:49:33,1984,28
0_7_30,08:51:05,08:51:05,3207,29
0_7_30,08:52:18,08:52:18,466,30
0_7_30,08:52:58,08:52:58,319,31
0_7_30,08:55:16,08:55:16,2609,32
0_7_30,08:57:11,08:57:11,1531,33
0_7_30,08:58:55,08:58:55,2732,34
0_7_30,09:00:51,09:00:51,166,35
0_7_30,09:01:32,09:01:32,1368,36
0_7_30,09:05:13,09:05:13,2573,37
0_7_30,09:07:10,09:07:10,422,38
0_7_30,09:08:55,09:08:55,2837,39
0_7_30,09:10:10,09:10:10,47,40
0_7_30,09:10:49,09:10:49,1886,41
0_7_30,09:12:45,09:12:45,952,42
0_7_30,09:15:36,09:15:36,2968,43
0_7_40,07:40:00,07:40:00,2101,0
0_7_40,07:41:52,07:41:52,909,1
0_7_40,07:44:17,07:44:17,2790,2
0_7_40,07:46:02,07:46:02,236,3
0_7_40,07:48:47,07:48:47,2855,4
0_7_40,07:51:32,07:51:32,707,5
0_7_40,07:54:49,07:54:49,570,6
0_7_40,07:56:22,07:56:22,4393,7
0_7_40,07:59:54,07:59:54,2319,8
0_7_40,08:06:25,08:06:25,2669,9
0_7_40,08:09:29,08:09:29,2822,10
0_7_40,08:12:53,08:12:53,1358,11
0_7_40,08:16:01,08:16:01,676,12
0_7_40,08:18:04,08:18:04,1703,13
0_7_40,08:20:15,08:20:15,3331,14
0_7_40,08:24:08,08:24:08,3182,15
0_7_40,08:28:17,08:28:17,2997,16
0_7_40,08:31:23,08:31:23,880,17
0_7_40,08:34:13,08:34:13,884,18
0_7_40,08:37:45,08:37:45,2872,19
0_7_40,08:39:35,08:39:35,746,20
0_7_40,08:42:30,08:42:30,1317,21
0_7_40,08:44:20,08:44:20,2570,22
0_7_40,08:46:13,08:46:13,2817,23
0_7_40,08:47:59,08:47:59,678,24
0_7_40,08:49:20,08:49:20,650,25
0_7_40,08:54:11,08:54:11,533,26
0_7_40,08:58:37,08:58:37,2932,27
0_7_40,08:59:33,08:59:33,1984,28
0_7_40,09:01:05,09:01:05,3207,29
0_7_40,09:02:18,09:02:18,466,30
0_7_40,09:02:58,09:02:58,319,31
0_7_40,09:05:16,09:05:16,2609,32
0_7_40,09:07:11,09:07:11,1531,33
